[2026-03-08 01:37:48] Overnight follow-up queue started
[2026-03-08 01:37:49] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:38:50] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:39:57] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:41:01] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:42:04] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:43:07] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:44:08] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:45:11] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:46:15] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:47:15] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:48:18] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:49:21] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:50:25] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:51:29] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:52:31] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:53:32] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:54:34] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:55:36] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:56:38] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:57:41] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:58:45] Waiting for activation_steering_controls.py to finish...
[2026-03-08 01:59:49] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:00:54] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:01:56] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:02:58] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:04:03] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:05:07] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:06:10] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:07:13] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:08:17] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:09:19] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:10:21] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:11:24] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:12:24] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:13:27] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:14:28] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:15:31] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:16:31] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:17:32] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:18:37] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:19:41] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:20:42] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:21:43] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:22:46] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:23:48] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:24:50] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:25:53] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:26:53] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:27:54] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:28:55] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:29:55] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:30:58] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:31:58] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:32:59] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:34:05] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:35:08] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:36:10] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:37:15] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:38:19] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:39:20] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:40:22] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:41:24] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:42:26] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:43:30] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:44:32] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:45:36] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:46:42] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:47:43] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:48:48] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:49:49] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:50:55] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:51:56] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:52:56] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:53:58] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:54:59] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:56:00] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:57:01] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:58:03] Waiting for activation_steering_controls.py to finish...
[2026-03-08 02:59:04] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:00:05] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:01:06] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:02:09] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:03:15] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:04:20] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:05:23] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:06:26] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:07:27] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:08:30] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:09:34] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:10:36] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:11:37] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:12:38] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:13:41] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:14:43] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:15:45] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:16:47] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:17:49] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:18:51] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:19:54] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:20:56] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:21:58] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:22:59] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:24:02] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:25:04] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:26:06] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:27:09] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:28:13] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:29:15] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:30:17] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:31:19] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:32:22] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:33:24] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:34:26] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:35:29] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:36:32] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:37:33] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:38:34] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:39:35] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:40:36] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:41:37] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:42:39] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:43:39] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:44:42] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:45:42] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:46:44] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:47:44] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:48:46] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:49:46] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:50:49] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:51:49] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:52:50] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:53:56] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:54:57] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:55:58] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:56:59] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:58:00] Waiting for activation_steering_controls.py to finish...
[2026-03-08 03:59:00] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:00:02] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:01:06] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:02:10] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:03:13] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:04:14] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:05:17] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:06:21] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:07:26] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:08:29] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:09:34] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:10:38] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:11:41] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:12:42] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:13:45] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:14:47] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:15:49] Waiting for activation_steering_controls.py to finish...
